Country,Population
Morocco,"33,008,150"
Maldives,"345,023"
Isle of Man,"85,888"
Marshall Islands,"52,634"
Seychelles,"92,838"
Saint Lucia,"182,273"
Turkey,"74,932,641"
Kenya,"44,353,691"
Bhutan,"753,947"
Barbados,"284,644"
Sint Maarten (Dutch part),"45,233"
Viet Nam,"91,679,733"
Saint Helena,"4,129"
Chile,"17,619,708"
Kiribati,"102,351"
Suriname,"539,276"
Albania,"3,173,271"
Mauritius,"1,244,403"
Togo,"6,816,982"
Peru,"30,375,603"
Malta,"429,004"
Vanuatu,"252,763"
Finland,"5,426,323"
Ukraine,"45,238,805"
Saint Kitts and Nevis,"54,191"
Belgium,"11,104,476"
Dominican Republic,"10,403,761"
Caribbean Netherlands,"19,130"
India,"1,252,139,596"
Jordan,"7,273,799"
Estonia,"1,287,251"
"China, Macao SAR","566,375"
Liberia,"4,294,077"
Congo,"4,447,632"
American Samoa,"55,165"
Grenada,"105,897"
Trinidad and Tobago,"1,341,151"
Botswana,"2,021,144"
Uganda,"37,578,876"
Comoros,"734,917"
Denmark,"5,619,096"
WORLD,"7,162,119,434"
Libya,"6,201,521"
United Kingdom,"63,136,265"
French Polynesia,"276,831"
Kyrgyzstan,"5,547,548"
Republic of Moldova,"3,487,204"
Sweden,"9,571,105"
Zambia,"14,538,640"
Bangladesh,"156,594,962"
Malaysia,"29,716,965"
Aruba,"102,911"
Mayotte,"222,152"
Liechtenstein,"36,925"
Tuvalu,"9,876"
Uruguay,"3,407,062"
Israel,"7,733,144"
Honduras,"8,097,688"
Bolivia (Plurinational State of),"10,671,200"
Haiti,"10,317,461"
China,"1,385,566,537"
French Guiana,"249,227"
Nicaragua,"6,080,478"
Mozambique,"25,833,752"
Netherlands,"16,759,229"
Gambia,"1,849,285"
Croatia,"4,289,714"
Guinea,"11,745,189"
Faeroe Islands,"49,469"
Paraguay,"6,802,295"
Monaco,"37,831"
Norway,"5,042,671"
Singapore,"5,411,737"
Italy,"60,990,277"
Micronesia (Fed. States of),"103,549"
Palau,"20,918"
Australia,"23,342,553"
Czech Republic,"10,702,197"
Anguilla,"14,300"
Iceland,"329,535"
South Sudan,"11,296,173"
Nigeria,"173,615,345"
Poland,"38,216,635"
Cote d Ivoire,"20,316,086"
Nepal,"27,797,457"
Uzbekistan,"28,934,102"
Serbia,"9,510,506"
Belarus,"9,356,678"
Chad,"12,825,314"
Cape Verde,"498,897"
Montserrat,"5,091"
Cameroon,"22,253,959"
South Africa,"52,776,130"
Luxembourg,"530,380"
Namibia,"2,303,315"
Guinea-Bissau,"1,704,255"
Iraq,"33,765,232"
Samoa,"190,372"
Guyana,"799,613"
Montenegro,"621,383"
Swaziland,"1,249,514"
Guatemala,"15,468,203"
Switzerland,"8,077,833"
Cook Islands,"20,629"
Syrian Arab Republic,"21,898,061"
Curaçao,"158,760"
Indonesia,"249,865,631"
Hungary,"9,954,941"
Antigua and Barbuda,"89,985"
Romania,"21,698,585"
Madagascar,"22,924,851"
Guam,"165,124"
Eritrea,"6,333,135"
Bermuda,"65,341"
Puerto Rico,"3,688,318"
Bahrain,"1,332,171"
Angola,"21,471,618"
Tonga,"105,323"
"China, Hong Kong SAR","7,203,836"
Brunei Darussalam,"417,784"
Argentina,"41,446,246"
Gabon,"1,671,711"
Cayman Islands,"58,435"
Greece,"11,127,990"
Holy See,799
British Virgin Islands,"28,341"
Kuwait,"3,368,572"
Tunisia,"10,996,515"
Timor-Leste,"1,132,879"
Brazil,"200,361,925"
Bulgaria,"7,222,943"
Panama,"3,864,170"
Thailand,"67,010,502"
Tajikistan,"8,207,834"
Pakistan,"182,142,594"
Mongolia,"2,839,073"
Latvia,"2,050,317"
Bahamas,"377,374"
Western Sahara,"567,315"
Malawi,"16,362,567"
Djibouti,"872,932"
Mauritania,"3,889,880"
Rwanda,"11,776,522"
Sierra Leone,"6,092,075"
TFYR Macedonia,"2,107,158"
United Republic of Tanzania,"49,253,126"
Yemen,"24,407,381"
Niger,"17,831,270"
Falkland Islands (Malvinas),"3,044"
San Marino,"31,448"
Ghana,"25,904,598"
Dem. People s Republic of Korea,"24,895,480"
Philippines,"98,393,574"
Northern Mariana Islands,"53,855"
Nauru,"10,051"
Turks and Caicos Islands,"33,098"
Solomon Islands,"561,231"
State of Palestine,"4,326,295"
Somalia,"10,495,583"
Channel Islands,"162,018"
Réunion,"875,375"
Lesotho,"2,074,465"
Andorra,"79,218"
New Zealand,"4,505,761"
Costa Rica,"4,872,166"
Austria,"8,495,145"
Zimbabwe,"14,149,648"
Senegal,"14,133,280"
Ethiopia,"94,100,756"
United States Virgin Islands,"106,627"
Qatar,"2,168,673"
Niue,"1,344"
Venezuela (Bolivarian Republic of),"30,405,207"
France,"64,291,280"
Lao People s Democratic Republic,"6,769,727"
Slovakia,"5,450,223"
Gibraltar,"29,310"
Cyprus,"1,141,166"
Bosnia and Herzegovina,"3,829,307"
Sri Lanka,"21,273,228"
Guadeloupe,"465,800"
Dominica,"72,003"
Myanmar,"53,259,018"
Equatorial Guinea,"757,014"
Fiji,"881,065"
El Salvador,"6,340,454"
United States of America,"320,050,716"
Germany,"82,726,626"
Saint Pierre and Miquelon,"6,043"
Sudan,"37,964,306"
Lithuania,"3,016,933"
Lebanon,"4,821,971"
Saint Vincent and the Grenadines,"109,373"
Greenland,"56,987"
Algeria,"39,208,194"
Turkmenistan,"5,240,072"
Cuba,"11,265,629"
Kazakhstan,"16,440,586"
Jamaica,"2,783,888"
Democratic Republic of the Congo,"67,513,677"
New Caledonia,"256,496"
Spain,"46,926,963"
Armenia,"2,976,566"
Ecuador,"15,737,878"
Slovenia,"2,071,997"
Martinique,"403,682"
Republic of Korea,"49,262,698"
Iran (Islamic Republic of),"77,447,168"
Cambodia,"15,135,169"
Mexico,"122,332,399"
Wallis and Futuna Islands,"13,272"
Egypt,"82,056,378"
Ireland,"4,627,173"
Afghanistan,"30,551,674"
Benin,"10,323,474"
United Arab Emirates,"9,346,129"
Sao Tome and Principe,"192,993"
Burkina Faso,"16,934,839"
Georgia,"4,340,895"
Japan,"127,143,577"
Azerbaijan,"9,413,420"
Central African Republic,"4,616,417"
Oman,"3,632,444"
Papua New Guinea,"7,321,262"
Canada,"35,181,704"
Portugal,"10,608,156"
Saudi Arabia,"28,828,870"
Burundi,"10,162,532"
Russian Federation,"142,833,689"
Tokelau,"1,195"
Colombia,"48,321,405"
Belize,"331,900"
Mali,"15,301,650"
